country_code,date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,population
BR,2022-04-14,0,349,0,3,3076
BR,2022-04-14,0,2411,0,31,10179
BR,2022-04-14,2,900,0,10,3293
BR,2022-04-14,0,2118,0,39,11190
BR,2022-04-14,0,5743,0,91,21749
BR,2022-04-14,0,2339,0,37,13923
BR,2022-04-14,0,842,0,15,5932
BR,2022-04-14,0,1618,0,30,8293
BR,2022-04-14,0,521,0,5,2578
BR,2022-04-14,3,7768,0,92,19781
BR,2022-04-14,0,114,0,19,3434
BR,2022-04-14,0,883,0,12,4403
BR,2022-04-14,0,1087,0,23,6491
BR,2022-04-14,0,1043,0,23,6256
BR,2022-04-14,2,13049,0,155,52735
BR,2022-04-14,1,1838,0,51,8973
BR,2022-04-14,0,43323,0,2224,796257
BR,2022-04-14,0,1068,0,17,8561
BR,2022-04-14,0,13251,0,301,77432
BR,2022-04-14,0,4140,0,52,19576
BR,2022-04-14,0,963,0,9,7429
BR,2022-04-14,0,771,0,1,4156
BR,2022-04-14,59,30377,0,550,90353
BR,2022-04-14,0,1749,0,25,8783
BR,2022-04-14,0,1953,0,26,8886
BR,2022-04-14,0,208,0,1,2003
BR,2022-04-14,0,1182,0,14,4868
BR,2022-04-14,171,69224,0,1798,323827
BR,2022-04-14,0,1487,0,9,3890
BR,2022-04-14,0,690,0,3,2636
BR,2022-04-14,244,129510,0,1542,435564
BR,2022-04-14,6,24071,0,223,96087
BR,2022-04-14,0,727,0,9,3697
BR,2022-04-14,7,45193,0,1070,238940
BR,2022-04-14,3,980,0,17,7336
BR,2022-04-14,0,741,0,10,5413
BR,2022-04-14,0,1602,0,33,10222
BR,2022-04-14,0,1411,0,19,5518
BR,2022-04-14,0,710,0,13,2869
BR,2022-04-14,40,837,0,13,8242
BR,2022-04-14,17,3768,0,65,23798
BR,2022-04-14,0,4645,0,57,12434
BR,2022-04-14,0,871,0,6,5250
BR,2022-04-14,43,35416,0,485,108089
BR,2022-04-14,0,73,0,7,3387
BR,2022-04-14,0,983,0,8,3767
BR,2022-04-14,60,51047,1,458,143123
BR,2022-04-14,0,624,0,6,4267
BR,2022-04-14,0,486,0,8,3961
BR,2022-04-14,1,858,0,7,3008
BR,2022-04-14,0,3900,0,41,16936
BR,2022-04-14,0,777,0,7,2766
BR,2022-04-14,1,1594,0,19,6876
BR,2022-04-14,4,150208,0,2553,571149
BR,2022-04-14,0,750,0,17,11405
BR,2022-04-14,0,872,0,8,6401
BR,2022-04-14,0,723,0,19,8833
BR,2022-04-14,0,734,0,15,7038
BR,2022-04-14,0,645,0,14,2573
BR,2022-04-14,0,2185,0,39,15775
BR,2022-04-14,0,484,0,4,1563
BR,2022-04-14,0,830,0,6,2708
BR,2022-04-14,0,1404,0,50,10669
BR,2022-04-14,0,14071,0,296,53158
BR,2022-04-14,2,11110,0,178,40051
BR,2022-04-14,0,433,0,7,2132
BR,2022-04-14,0,368,0,10,4290
BR,2022-04-14,0,564,0,8,2537
BR,2022-04-14,1,620,0,10,2518
BR,2022-04-14,104,100884,1,3289,604682
BR,2022-04-14,0,1841,0,33,10568
BR,2022-04-14,0,6742,0,283,50453
BR,2022-04-14,0,615,0,11,2831
BR,2022-04-14,27,23335,2,1424,332445
BR,2022-04-14,0,6657,0,129,36835
BR,2022-04-14,0,643,0,6,8139
BR,2022-04-14,0,1247,0,21,5340
BR,2022-04-14,0,1458,0,16,7104
BR,2022-04-14,0,405,0,13,3507
BR,2022-04-14,0,864,0,12,6716
BR,2022-04-14,0,640,0,7,4386
BR,2022-04-14,0,374,0,9,7659
BR,2022-04-14,0,307,0,7,2523
BR,2022-04-14,0,423,0,4,1742
BR,2022-04-14,0,1974,0,34,15051
US,2022-04-14,7610,8536943,159,88907,39144818
US,2022-04-14,27,106448,0,1817,484601
US,2022-04-14,1,16458,0,286,69793
US,2022-04-14,-3,9125,0,91,36999
US,2022-04-14,57,174470,2,1778,752649
US,2022-04-14,1,5404,0,101,22864
US,2022-04-14,0,1901,0,49,9352
US,2022-04-14,0,4844,0,112,18600
US,2022-04-14,0,4466,0,144,21021
US,2022-04-14,0,11872,0,191,41818
BR,2022-04-14,2031,2432256,10,43027,10444526
MY,2022-04-14,238,296814,3,2603,2194100
AR,2022-04-14,0,5472,0,101,35789
AR,2022-04-14,3,287045,0,5338,1775816
AR,2022-04-14,0,8945,0,77,25728
AR,2022-04-14,2,62098,0,889,339930
AR,2022-04-14,0,3070,0,33,22131
AR,2022-04-14,0,10506,0,174,49458
AR,2022-04-14,1,2563,0,34,42249
AR,2022-04-14,1,2733,0,15,7234
AR,2022-04-14,0,31263,0,390,107630
CZ,2022-04-14,19,26270,0,265,76310
CZ,2022-04-14,74,68591,0,603,176137
CZ,2022-04-14,32,38062,0,545,109104
CZ,2022-04-14,16,27449,0,468,90971
US,2022-04-14,4,4127,1,108,18832
US,2022-04-14,111,218082,6,2286,1038938
US,2022-04-14,0,609,0,25,3032
US,2022-04-14,1,2171,1,52,11751
US,2022-04-14,0,1721,0,31,5813
US,2022-04-14,4,38182,0,813,193836
US,2022-04-14,0,11554,0,215,40431
US,2022-04-14,1,11357,0,149,42806
US,2022-04-14,20,37776,0,560,168495
US,2022-04-14,1,3522,0,87,15137
US,2022-04-14,2,20276,0,238,62401
CU,2022-04-14,479,1099042,0,8519,11326616
FK,2022-04-14,0,131,0,0,3483
HN,2022-04-14,0,421659,0,10891,9904608
LY,2022-04-14,0,501834,0,6429,6871287
PF,2022-04-14,0,72596,0,648,280904
RW,2022-04-14,1,129765,0,1459,12952209
TO,2022-04-14,0,8761,0,11,105697
CL,2022-04-14,107,97887,2,1085,480609
JP,2022-04-14,3863,485317,0,1418,7339530
JP,2022-04-14,2933,446096,2,1994,7535266
JP,2022-04-14,147,10078,0,11,664539
NL,2022-04-14,177,521028,1,2152,1116137
RU,2022-04-14,2,44396,0,350,330368
TH,2022-04-14,89,16159,1,154,224730
TH,2022-04-14,471,74106,1,714,891071
US,2022-04-14,3032,6715756,21,87896,27469114
US,2022-04-14,346,119339,0,623,626042
US,2022-04-14,130,498773,14,6791,1844128
GB,2022-04-14,21315,18338557,204,149707,53012456
RU,2022-04-14,67,149898,3,992,1250173
RU,2022-04-14,92,108398,4,1787,620249
RU,2022-04-14,612,434839,5,10658,4290067
RU,2022-04-14,143,200322,4,4606,1218319
AT,2022-04-14,33,20999,0,168,44461
AT,2022-04-14,2738,842456,5,3903,1897491
IL,2022-04-14,108,98011,0,98,225939
IL,2022-04-14,19,15809,0,7,34500
IL,2022-04-14,40,23021,0,10,50351
IL,2022-04-14,1,1334,0,1,3105
IL,2022-04-14,1,5001,0,1,10339
IL,2022-04-14,3,1539,0,1,3373
IL,2022-04-14,6,1537,0,1,3244
IL,2022-04-14,3,2708,0,1,7061
IL,2022-04-14,15,17018,0,13,41734
IL,2022-04-14,3,3491,0,1,6679
IL,2022-04-14,5,15958,0,63,42137
IN,2022-04-14,0,316586,0,1298,5151549
IN,2022-04-14,0,1029,0,3,
IN,2022-04-14,0,0,0,0,
IN,2022-04-14,0,0,0,0,686133
IN,2022-04-14,0,0,0,0,1517542
IN,2022-04-14,0,17854,0,260,2562012
IN,2022-04-14,0,23055,0,395,3935042
IN,2022-04-14,0,0,0,0,3656539
IN,2022-04-14,0,8867,0,75,
IN,2022-04-14,0,18235,0,95,381956
IN,2022-04-14,0,7427,0,145,502276
IN,2022-04-14,0,510584,0,6389,2635375
IN,2022-04-14,0,81979,0,1820,2772348
IN,2022-04-14,0,0,0,0,1701698
IN,2022-04-14,0,456,0,11,166343
IN,2022-04-14,0,14605,0,113,441162
IN,2022-04-14,0,8555,0,53,1492073
IN,2022-04-14,0,10899,0,394,1119627
IN,2022-04-14,0,74256,0,895,2605914
IN,2022-04-14,0,24676,0,368,1353445
IN,2022-04-14,1,53923,0,787,
IN,2022-04-14,0,92157,0,1039,2405890
IN,2022-04-14,0,0,0,0,3682194
CA,2022-04-14,0,222273,0,1130,
CA,2022-04-14,0,6943,0,29,
CA,2022-04-14,129,18733,3,137,
CA,2022-04-14,470,140270,4,2087,
IL,2022-04-14,2,4126,0,19,14930
IL,2022-04-14,9,12952,0,41,29950
NL,2022-04-14,4,9814,0,7,25531
NL,2022-04-14,11,14070,0,57,33145
NL,2022-04-14,3,7997,0,38,18546
NL,2022-04-14,0,4547,0,15,10516
NL,2022-04-14,5,15909,0,61,35681
NL,2022-04-14,310,409081,1,1076,860124
NL,2022-04-14,51,74521,0,205,162902
NL,2022-04-14,18,30375,0,101,68348
NL,2022-04-14,4,12724,0,32,24351
NL,2022-04-14,21,23653,0,53,49911
NL,2022-04-14,9,10295,0,19,23762
NL,2022-04-14,5,9215,0,18,21865
NL,2022-04-14,14,14101,0,46,32768
NL,2022-04-14,9,5603,0,20,14626
US,2022-04-14,0,4952,0,12,13512
US,2022-04-14,0,2610,0,76,10097
US,2022-04-14,0,5083,0,74,22687
US,2022-04-14,0,15877,1,172,44993
US,2022-04-14,0,3388,0,88,16429
US,2022-04-14,0,7143,0,96,25997
US,2022-04-14,0,6851,0,105,21509
US,2022-04-14,2,4991,0,48,27926
US,2022-04-14,132,79311,0,727,434534
US,2022-04-14,0,4444,0,80,43622
US,2022-04-14,6,4770,0,37,25765
US,2022-04-14,0,1443,0,31,6628
US,2022-04-14,88,46405,0,775,166283
US,2022-04-14,0,84961,0,1496,345432
US,2022-04-14,0,21722,0,293,82925
US,2022-04-14,0,9130,0,137,39326
US,2022-04-14,0,1810,0,49,6869
US,2022-04-14,0,5458,0,73,20618
US,2022-04-14,0,2716,0,50,11574
US,2022-04-14,0,2330,0,29,13467
US,2022-04-14,0,4734,0,73,13270
US,2022-04-14,1,5168,0,79,17390
US,2022-04-14,1,11101,0,176,38045
US,2022-04-14,1,3430,0,41,13963
US,2022-04-14,0,6825,0,88,26167
US,2022-04-14,0,4373,0,65,22694
US,2022-04-14,0,4918,0,102,19995
US,2022-04-14,0,3954,0,53,12555
US,2022-04-14,0,843,0,17,3315
US,2022-04-14,0,656,0,14,2684
US,2022-04-14,0,785,0,23,2622
US,2022-04-14,0,493,0,8,2121
US,2022-04-14,0,7347,0,103,21542
US,2022-04-14,0,3278,0,76,15953
US,2022-04-14,3,6427,0,45,23348
US,2022-04-14,4,12481,0,262,50708
US,2022-04-14,0,12944,0,248,46649
US,2022-04-14,0,11098,0,183,39264
US,2022-04-14,8,5218,0,35,34215
US,2022-04-14,0,13683,0,190,40979
US,2022-04-14,0,10335,0,204,45820
US,2022-04-14,0,59282,0,672,262998
US,2022-04-14,0,6749,0,92,28996
US,2022-04-14,0,1434,0,55,8238
US,2022-04-14,0,2954,0,61,15792
US,2022-04-14,4,14029,0,174,40135
US,2022-04-14,0,1989,0,34,9157
US,2022-04-14,0,1654,0,22,6322
US,2022-04-14,0,12072,0,127,44982
US,2022-04-14,0,9280,0,179,45473
US,2022-04-14,0,7456,0,117,30121
US,2022-04-14,0,3334,0,95,14683
US,2022-04-14,0,3751,0,96,15157
US,2022-04-14,0,4989,0,45,19262
US,2022-04-14,0,6103,0,128,29364
US,2022-04-14,0,2312,0,33,8240
US,2022-04-14,0,6462,0,126,23214
US,2022-04-14,0,7140,0,120,28528
US,2022-04-14,0,4445,0,104,17849
US,2022-04-14,0,15273,0,178,54178
US,2022-04-14,0,24018,0,327,104584
US,2022-04-14,0,8042,0,107,28659
US,2022-04-14,0,250,0,5,1223
US,2022-04-14,0,335,0,10,1750
US,2022-04-14,5,42883,0,547,159266
US,2022-04-14,0,1755,0,9,10532
US,2022-04-14,0,47572,0,568,157852
US,2022-04-14,0,4993,0,32,26290
